variable,name,type,codes,labels,definition,level,type_var,exposure_type,outcome,exposure,pca,ready,raw variables,sort
Number of infected snails per village ,nsnails_infected,Discrete,,,Number of infected snails per village,Vill.-level,Malacology,,,,,Yes,No,1111
Infected snails found in village,snails_infected,Binary,"0,1",,Infected snails in village,Vill.-level,Malacology,,,,,Yes,No,1111
Village-level schistosomiasis prevalence (POC-CCA+),prev_vill_poc,Continuous,,,Village-level schistosomiasis prevalence,Vill.-level,Biomedical,,,,,Yes,Yes,1300
WHO endemicity setting (POC-CCA+),prev_cat_vill_poc,Categorical,"2,3","moderate,high","WHO endemicity setting, as measured by POC-CCA+ (low<30% prevalence, moderate >=30-75% prevalence, high>75% prevalence)",Vill.-level,Biomedical,,,,,Yes,Yes,1300
Village-level schistosomiasis prevalence (KK),prev_vill,Continuous,,,Village-level schistosomiasis prevalence (KK),Vill.-level,Biomedical,,,,,Yes,Yes,1300
Village-level schistosomiasis prevalence (KK),prev_cat_vill,Categorical,"2,3","10-49%,50+%","Village-level prevalence by Kato-Katz (moderate 10-49% prevalence, high>=50% prevalence)",Vill.-level,Biomedical,,,,,Yes,No,1300
Number of roads per village,roads_vill,Discrete,,,Number of roads in the village,Vill.-level,Environmental,,,,,Yes,Yes,1300
Village ID,vill_id,Discrete,,,Village ID (1-36),Vill.-level,ID,,,,,Yes,No,1300
Number of latrines per village,nlatrines_vill,Discrete,,,Number of unique locations with latrines per village,Vill.-level,WASH,,,,,Yes,Yes,1300
Public latrine in village,latrine_vill,Binary,"0,1",,Public latrine in the village,Vill.-level,WASH,,,,,Yes,Yes,1300
Number of taps/boreholes per village,ntaps_vill,Discrete,,,Number of unique locations with taps/boreholes per village,Vill.-level,WASH,,,,,Yes,Yes,1300
District,district,Categorical,"1,2,3","Mayuge,Buliisa,Pakwach",District dummy,District-level,ID,,,,,Yes,No,1500
